Name,Paraffinic CH3,Paraffinic CH2,Paraffinic CH,Olefinic -CH=CH2,Naphthenic CH-CH2,Aromatic C-CH,Alcoholic OH,Ether O,Aldehydic CHO,Ketonic CO,Ester COO,MW,BI,FP,Predicted FP
2-ethyl-1-butene,35.71428571,33.33333333,0,30.95238095,0,0,0,0,0,0,0,84,0.5,253,250.39
"2,3-dimethyl-1-butene",53.57142857,0,15.47619048,30.95238095,0,0,0,0,0,0,0,84,0.5,254.85,249.15
4-Methyl-cis-2-pentene,53.57142857,0,15.47619048,30.95238095,0,0,0,0,0,0,0,84,0.2,241,248.92
"2,3-dimethyl-2-butene",71.42857143,0,0,28.57142857,0,0,0,0,0,0,0,84,0.5,253,253.57
2-ethyl-1-pentene,30.6122449,42.85714286,0,26.53061224,0,0,0,0,0,0,0,98,0.4,263,263.11
3-methyl-1-hexene,30.6122449,28.57142857,13.26530612,27.55102041,0,0,0,0,0,0,0,98,0.25,267,262.45
1-heptene,15.30612245,57.14285714,0,27.55102041,0,0,0,0,0,0,0,98,0,272,271.60
2-methyl-1-hexene,30.6122449,42.85714286,0,26.53061224,0,0,0,0,0,0,0,98,0.166666667,266.85,263.22
4-methyl-1-hexene,30.6122449,28.57142857,13.26530612,27.55102041,0,0,0,0,0,0,0,98,0.25,258,262.45
"2,3,3-trimethyl-1-butene",61.2244898,0,0,26.53061224,0,0,0,0,0,0,0,98,0.75,256,257.59
2-octene,26.78571429,50,0,23.21428571,0,0,0,0,0,0,0,112,0,286.85,278.37
2-methyl-1-heptene,26.78571429,50,0,23.21428571,0,0,0,0,0,0,0,112,0.142857143,282.85,278.28
2-methyl-2-heptene,40.17857143,37.5,0,22.32142857,0,0,0,0,0,0,0,112,0.142857143,280.85,282.01
3-ethyl-1-hexene,26.78571429,37.5,11.60714286,24.10714286,0,0,0,0,0,0,0,112,0.416666667,274,275.61
4-methyl-1-heptene,26.78571429,37.5,11.60714286,24.10714286,0,0,0,0,0,0,0,112,0.285714286,275,275.50
"2,4,4-trimethyl-1-pentene",53.57142857,12.5,0,23.21428571,0,0,0,0,0,0,0,112,0.6,268,271.36
"2,4,4-trimethyl-2-pentene",66.96428571,0,0,22.32142857,0,0,0,0,0,0,0,112,0.6,274.85,276.22
1-octene,13.39285714,62.5,0,24.10714286,0,0,0,0,0,0,0,112,0,294,287.01
1-nonene,11.9047619,66.66666667,0,21.42857143,0,0,0,0,0,0,0,126,0,299,300.61
1-decene,10.71428571,70,0,19.28571429,0,0,0,0,0,0,0,140,0,320,315.93
1-dodecene,8.928571429,75,0,16.07142857,0,0,0,0,0,0,0,168,0,352,348.18
"2,2,4,6,6-pentamethyl-3-Heptene",62.5,8.333333333,0,14.88095238,0,0,0,0,0,0,0,168,0.857142857,320.1,325.45
cyclopentene,0,0,0,38.23529412,61.76470588,0,0,0,0,0,0,68,0.5,244,249.69
cyclopentane,0,0,0,0,100,0,0,0,0,0,0,70,0.5,248,247.29
cyclohexene,0,0,0,31.70731707,68.29268293,0,0,0,0,0,0,82,0.5,261,261.72
1-methylcyclopentene,18.29268293,0,0,30.48780488,51.2195122,0,0,0,0,0,0,82,0.5,255.85,254.15
cyclohexane,0,0,0,0,100,0,0,0,0,0,0,84,0.5,253,258.86
Ethylcyclobutane,17.85714286,16.66666667,0,0,65.47619048,0,0,0,0,0,0,84,0.5,258,260.08
methylcyclopentane,17.85714286,0,0,0,82.14285714,0,0,0,0,0,0,84,0.5,244,247.05
4-Methylcyclohexene,15.625,0,0,27.08333333,57.29166667,0,0,0,0,0,0,96,0.5,272,272.96
1-methyl-1-cyclohexene,15.625,0,0,26.04166667,58.33333333,0,0,0,0,0,0,96,0.5,269.85,272.98
cycloheptene,0,0,0,27.08333333,72.91666667,0,0,0,0,0,0,96,0.5,267,276.12
3-methylcyclohexene,15.625,0,0,27.08333333,57.29166667,0,0,0,0,0,0,96,0.5,270,272.96
cycloheptane,0,0,0,0,100,0,0,0,0,0,0,98,0.5,279,280.18
