Name,Paraffinic CH3,Paraffinic CH2,Paraffinic CH,Olefinic -CH=CH2,Naphthenic CH-CH2,Aromatic C-CH,Alcoholic OH,Ether O,Aldehydic CHO,Ketonic CO,Ester COO,MW,BI,FP
"3,3-dimethyl-1-butene",53.57142857,0,0,32.14285714,0,0,0,0,0,0,0,84,0.5,244.85
1-hexene,17.85714286,50,0,32.14285714,0,0,0,0,0,0,0,84,0,247
2-ethyl-1-butene,35.71428571,33.33333333,0,30.95238095,0,0,0,0,0,0,0,84,0.5,253
"2,3-dimethyl-1-butene",53.57142857,0,15.47619048,30.95238095,0,0,0,0,0,0,0,84,0.5,254.85
4-Methyl-cis-2-pentene,53.57142857,0,15.47619048,30.95238095,0,0,0,0,0,0,0,84,0.2,241
"2,3-dimethyl-2-butene",71.42857143,0,0,28.57142857,0,0,0,0,0,0,0,84,0.5,253
2-ethyl-1-pentene,30.6122449,42.85714286,0,26.53061224,0,0,0,0,0,0,0,98,0.4,263
3-methyl-1-hexene,30.6122449,28.57142857,13.26530612,27.55102041,0,0,0,0,0,0,0,98,0.25,267
1-heptene,15.30612245,57.14285714,0,27.55102041,0,0,0,0,0,0,0,98,0,272
2-methyl-1-hexene,30.6122449,42.85714286,0,26.53061224,0,0,0,0,0,0,0,98,0.166666667,266.85
4-methyl-1-hexene,30.6122449,28.57142857,13.26530612,27.55102041,0,0,0,0,0,0,0,98,0.25,258
"2,3,3-trimethyl-1-butene",61.2244898,0,0,26.53061224,0,0,0,0,0,0,0,98,0.75,256
2-octene,26.78571429,50,0,23.21428571,0,0,0,0,0,0,0,112,0,286.85
2-methyl-1-heptene,26.78571429,50,0,23.21428571,0,0,0,0,0,0,0,112,0.142857143,282.85
2-methyl-2-heptene,40.17857143,37.5,0,22.32142857,0,0,0,0,0,0,0,112,0.142857143,280.85
3-ethyl-1-hexene,26.78571429,37.5,11.60714286,24.10714286,0,0,0,0,0,0,0,112,0.416666667,274
4-methyl-1-heptene,26.78571429,37.5,11.60714286,24.10714286,0,0,0,0,0,0,0,112,0.285714286,275
"2,4,4-trimethyl-1-pentene",53.57142857,12.5,0,23.21428571,0,0,0,0,0,0,0,112,0.6,268
"2,4,4-trimethyl-2-pentene",66.96428571,0,0,22.32142857,0,0,0,0,0,0,0,112,0.6,274.85
1-octene,13.39285714,62.5,0,24.10714286,0,0,0,0,0,0,0,112,0,294
1-nonene,11.9047619,66.66666667,0,21.42857143,0,0,0,0,0,0,0,126,0,299
